Dataset Name,Anomaly Percentage,Initial Anomaly Percentage,Resampled Anomaly Percentage,Number of Features,Model,F1 Score,ROC AUC,PR AUC,MCC,Kappa,Number of Samples,,,
AALOI.npz,10,50,10,27,ABOD,0.356923077,0.770701802,0.316222846,0.277203845,0.272836538,49534,,,
AALOI.npz,10,50,10,27,KNN,0.237132353,0.681816196,0.192010765,0.145681418,0.145152431,49534,,,
AALOI.npz,10,50,10,27,LOF,0.322523585,0.766864545,0.26940152,0.239732783,0.237861502,49534,,,
AALOI.npz,10,50,10,27,OCSVM,0.133333333,0.548400768,0.123105379,0.034480114,0.03446784,49534,,,
AALOI.npz,10,50,10,27,ISOFOREST,0.113095238,0.534572979,0.107683013,0.014260573,0.014260512,49534,,,
AALOI.npz,20,50,20,27,ABOD,0.476190476,0.776805864,0.496740513,0.35662667,0.355524694,49534,,,
AALOI.npz,20,50,20,27,KNN,0.320880849,0.688654541,0.348444045,0.193661032,0.188821043,49534,,,
AALOI.npz,20,50,20,27,LOF,0.42228739,0.768422085,0.438025856,0.298909445,0.296428571,49534,,,
AALOI.npz,20,50,20,27,OCSVM,0.175757576,0.547166219,0.233892129,0.045813864,0.042831289,49534,,,
AALOI.npz,20,50,20,27,ISOFOREST,0.14143167,0.537186398,0.211644425,0.003882279,0.003625013,49534,,,
AALOI.npz,30,50,30.00397931,27,ABOD,0.533281432,0.7796614,0.620418021,0.390081642,0.379500934,49534,,,
AALOI.npz,30,50,30.00397931,27,KNN,0.360035211,0.693188724,0.480188273,0.217388588,0.198252785,49534,,,
AALOI.npz,30,50,30.00397931,27,LOF,0.473941368,0.773097394,0.571703276,0.330235676,0.315360505,49534,,,
AALOI.npz,30,50,30.00397931,27,OCSVM,0.198029557,0.549374532,0.344246775,0.063156666,0.051701191,49534,,,
AALOI.npz,30,50,30.00397931,27,ISOFOREST,0.173143138,0.537113978,0.318282977,0.026231357,0.021512873,49534,,,
AALOI.npz,40,50,40.01061289,27,ABOD,0.566378956,0.783612566,0.716177402,0.401325297,0.37677356,49534,,,
AALOI.npz,40,50,40.01061289,27,KNN,0.38465138,0.698383793,0.593544625,0.231414965,0.195062145,49534,,,
AALOI.npz,40,50,40.01061289,27,LOF,0.507513954,0.77606092,0.673837029,0.344421667,0.314005774,49534,,,
AALOI.npz,40,50,40.01061289,27,OCSVM,0.209973753,0.553073568,0.453325085,0.072608758,0.05185845,49534,,,
AALOI.npz,40,50,40.01061289,27,ISOFOREST,0.180658874,0.540558566,0.425075648,0.036881097,0.02572824,49534,,,
Acampaign.npz,20,50,20,62,ABOD,0.469845722,0.771554883,0.466174125,0.352934305,0.351035825,41188,,,
Acampaign.npz,20,50,20,62,KNN,0.486347725,0.783574985,0.491679538,0.37288728,0.370963132,41188,,,
Acampaign.npz,20,50,20,62,LOF,0.415514499,0.701195639,0.410644317,0.297336377,0.293322288,41188,,,
Acampaign.npz,20,50,20,62,OCSVM,0.480085096,0.777295108,0.499228325,0.368039018,0.365461732,41188,,,
Acampaign.npz,20,50,20,62,ISOFOREST,0.421052632,0.726059623,0.467698924,0.30300832,0.299197735,41188,,,
Acampaign.npz,30,50,30.00129316,62,ABOD,0.518984094,0.776523929,0.593305476,0.376759315,0.364656435,41188,,,
Acampaign.npz,30,50,30.00129316,62,KNN,0.541735907,0.78648987,0.620428811,0.406246275,0.393720843,41188,,,
Acampaign.npz,30,50,30.00129316,62,LOF,0.435651698,0.69994194,0.511331829,0.295852732,0.277543155,41188,,,
Acampaign.npz,30,50,30.00129316,62,OCSVM,0.528523053,0.779720437,0.622951052,0.396882202,0.381737844,41188,,,
Acampaign.npz,30,50,30.00129316,62,ISOFOREST,0.455665358,0.73857682,0.583687478,0.317069035,0.299322196,41188,,,
Acampaign.npz,40,50,40,62,ABOD,0.540215759,0.775363747,0.689998938,0.377595884,0.349573079,41188,,,
Acampaign.npz,40,50,40,62,KNN,0.565397462,0.782768979,0.704700967,0.400003714,0.375503935,41188,,,
Acampaign.npz,40,50,40,62,LOF,0.434973638,0.684210405,0.58443816,0.274294552,0.240192217,41188,,,
Acampaign.npz,40,50,40,62,OCSVM,0.553984226,0.776214514,0.7053086,0.395457166,0.367137455,41188,,,
